ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,FD,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:29:57,R,315784113
00,D88039EC48E0,000E,15,FE,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:39:58,R,315790153
00,D88039EC48E0,000E,15,FF,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:49:59,R,315796104
00,D88039EC48E0,000E,15,00,0A,01,0A,09,1066533632,33,0378,2021-08-24 16:59:59,R,315802097
00,D88039EC48E0,000E,15,01,0A,01,0A,09,1066533632,33,0378,2021-08-24 17:10:00,R,315808115
00,D88039EC48E0,000E,15,02,0A,01,0A,09,1066533632,33,0378,2021-08-24 17:20:01,R,315814072
00,D88039EC48E0,000E,15,03,0A,01,0A,09,1066533632,33,0378,2021-08-24 17:30:02,R,315820035
00,D88039EC48E0,000E,15,04,0A,01,0A,09,1066533632,33,0378,2021-08-24 17:40:03,R,315826042
00,D88039EC48E0,000E,15,05,0A,01,0A,09,1066533632,33,0378,2021-08-24 17:50:04,R,315832108
00,D88039EC48E0,000E,15,06,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:00:05,R,315838215
00,D88039EC48E0,000E,15,07,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:10:05,R,315844389
00,D88039EC48E0,000E,15,08,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:20:06,R,315850499
00,D88039EC48E0,000E,15,09,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:30:07,R,315856606
00,D88039EC48E0,000E,15,0A,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:40:08,R,315862717
00,D88039EC48E0,000E,15,0B,0A,01,0A,09,1066533632,33,0378,2021-08-24 18:50:09,R,315868847
00,D88039EC48E0,000E,15,0C,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:00:10,R,315875100
00,D88039EC48E0,000E,15,0D,0A,01,0A,09,1066533632,33,0378,2021-08-24 19:10:10,R,315881261
